FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-0.83707416,0.0112438705,-2.1319346,0.0056393202,-1.0621269,-0.015143365,-0.6634852,0.013013981,-1.906538,-0.023748647,-0.6049069,0.002957413,-0.6630737,0.010862788,-1.6667417,-0.0043459944,-0.518175,0.0011863925,-0.8584629,-0.0045182267,-2.0394013,-0.008459106,-1.1456984,0.00016283081,-0.0075720623,-0.0027406933,-0.000979171,0.0023909959
-0.94733095,0.0041466653,-1.8767942,-0.0004951339,-0.8232628,0.000524655,-0.7105918,-0.004666876,-1.9762036,0.009868778,-1.0024289,-0.012178919,-0.66791916,0.004367156,-1.9827684,-0.00040703546,-0.9116586,0.0006210925,-0.8814657,-0.001707213,-1.9744644,-0.0020834636,-0.83855814,-0.00083237654,-0.0011354629,0.0019658394,0.0003725941,-0.0006123958
-0.78287405,0.014340479,-1.3117524,0.0058984812,-0.5024892,-0.017998977,-0.60668147,0.013141174,-1.3592507,-0.009768829,-0.6968484,-0.013261825,-0.56065446,0.015334485,-1.429167,-0.0045939777,-0.6594062,0.0019477422,-0.7320359,-0.005574773,-1.4932928,-0.008363234,-0.5354716,-0.0013260592,-0.006754523,-0.0014511058,-0.00016345375,0.0014684433
-1.0193896,0.006792333,-2.5142505,0.0029195156,-1.5743062,-0.005087953,-0.7829077,0.002645485,-1.9598737,-0.0071329065,-0.5299695,-0.0033794064,-0.7725893,0.0070940815,-2.0747316,-0.002676282,-0.47527072,0.0008388702,-1.0231068,-0.0032421313,-2.6599932,-0.002902925,-1.5802716,0.00016567577,-0.003468709,0.00045345072,-0.00065406645,0.0007832721
-1.0149076,-0.0036540888,-2.186086,-0.016979596,-1.1289617,5.492568e-05,-0.81164163,-0.00061586127,-2.3282557,0.010280065,-1.055874,-0.009028109,-0.74260235,-0.021113366,-2.4930012,0.002988454,-1.0591342,-0.002771086,-1.0094124,0.0031693857,-2.3796525,0.0025932658,-1.0972381,0.0072958046,-0.0066109616,0.0026101256,-0.0046903887,-0.0025927247
-0.8804476,0.0071127936,-1.7960727,0.004858952,-0.6850127,-0.007962499,-0.6494464,0.0032580867,-1.6599747,-0.020852502,-0.8902421,0.0008495655,-0.67109275,0.009492073,-1.6255927,-0.0026605297,-0.91753703,0.0012187872,-0.8026625,-0.0030730227,-1.7580885,-0.0045886207,-0.7588967,-0.0003865998,-0.004147481,7.879175e-05,-8.545304e-05,0.0020020383
-1.1072357,-0.0068292283,-3.1723688,-0.0013626125,-1.5284483,0.0059113204,-0.8249477,-0.006317701,-2.6454563,-0.0109527,-0.8552176,0.01800362,-0.8660592,-0.009232871,-2.8632972,0.0014840849,-0.80798095,-0.0013452545,-1.1964242,0.0018749591,-3.1701808,0.0051593836,-1.5227362,0.0012588236,0.0030922834,0.0003384184,-0.0005115303,0.0001422069
-0.916342,-0.0056686364,-2.1445184,0.0075564096,-1.1984733,-0.021625033,-0.72544515,0.018510329,-1.8515766,0.0053747147,-0.38821772,0.002577588,-0.68266463,-0.003407728,-1.9099894,-0.0002937056,-0.3679996,-0.0030342145,-0.8626692,-0.008757159,-2.2739208,0.012428682,-1.1649995,-0.0057720393,0.0017733853,0.010614306,-0.0033979558,0.001905919
-0.87495005,0.014470616,-1.9559473,0.0059091765,-1.1684656,-0.017015185,-0.67510194,0.011855526,-1.4139568,-0.021324303,-0.4048912,-0.0063885152,-0.66563046,0.016985387,-1.4670044,-0.0050230026,-0.31165603,0.0019928664,-0.812381,-0.005676683,-2.0721536,-0.0070009436,-1.2292541,-0.0003548311,-0.0078825,0.0001178151,-0.00059568754,0.002207998
-1.0322323,-0.0060547516,-2.7391126,-0.0009895656,-1.1776867,0.004696384,-0.7666345,-0.0027944706,-2.6435113,-0.0016447119,-0.859499,0.0145793,-0.758229,-0.0049371347,-2.497485,0.0024118014,-0.8023458,-0.00016845018,-1.1271178,0.0016178433,-2.806284,0.00050280616,-1.1495602,0.0002323871,0.0041971803,4.3529086e-05,0.0013074436,0.00040058652
-0.77935565,0.009465378,-1.597853,0.0049722344,-0.5178958,-0.018296614,-0.5944105,0.014189437,-1.5002773,-0.020934142,-0.60252297,-0.0016252976,-0.5828266,0.007196946,-1.6415949,-0.0027595144,-0.5813389,0.0012989368,-0.80339634,-0.0036305897,-1.6976886,-0.0050913654,-0.5347754,-0.0011159235,-0.0042035095,-0.0029574484,0.00019537285,0.0015610629
