FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2
-1.1520023,0.0032291915,-2.6593518,-0.0018133009,-1.01575,-0.0020872978,-1.0310733,-0.00026983093,-2.793529,-0.0015059323,-1.1190417,0.0032594353,-1.1228775,0.0020027896,-2.7166705,-0.0023034103,-1.0167941,0.001862769,-1.106566,0.0034427634,-2.7683337,0.0024107657,-1.2885467,0.0015761023,-0.00018053188,-0.0007591876,-0.0028131027,-0.0018217373
-0.9112194,-0.0023180954,-2.07719,0.0015235338,-1.1071553,0.0013021296,-0.7973439,1.6465667e-05,-1.9681491,0.0010003182,-0.9354828,-0.0021697935,-0.854833,-0.0010589147,-1.9865229,0.0017109988,-0.8632246,-0.001079103,-0.9266772,-0.0022721002,-2.0516248,-0.0016371645,-0.5855837,-0.0011434034,0.00012781052,0.0005021668,0.001802939,0.0011741454
-1.0417652,0.0013375953,-2.471503,-0.00046347175,-1.217706,-0.0005896017,-0.9298934,-0.00022589392,-2.3603175,-0.0006320565,-0.9327804,0.00080388226,-0.9870534,0.0005307477,-2.3412797,-0.0010057027,-0.86400443,0.00070645195,-1.0352724,0.0012732083,-2.5321593,0.0006252639,-1.1823084,0.00070052966,-8.8156376e-05,-0.00024359301,-0.00094814505,-0.00013738079
-0.79711556,-0.005428632,-1.6342347,0.0029164972,-0.5649805,0.003161938,-0.67527914,0.00037980435,-1.815499,0.002397331,-1.1239946,-0.0052703284,-0.7705145,-0.00313952,-1.7642787,0.0039945375,-0.6517949,-0.0028451197,-0.8388957,-0.0049043363,-1.7351525,-0.0039549284,-0.6882045,-0.0027363067,0.0003088154,0.0012115962,0.0044949474,0.0022417004
-1.1879394,0.004559513,-2.648126,-0.0026327325,-0.6799228,-0.002364858,-1.0570686,-0.00022091658,-2.933443,-0.0017343569,-1.2276984,0.00454022,-1.1939995,0.0026342794,-2.8922892,-0.003067878,-1.169304,0.002237563,-1.1236808,0.0038068062,-2.766299,0.0030521275,-1.0163655,0.0021255333,-0.0002273285,-0.0009763185,-0.0038439203,-0.0018945946
-0.9647342,-0.0010820422,-1.8905644,0.00054566655,-0.023085952,0.0005537495,-0.86689353,3.5436824e-05,-2.5024095,0.00020411192,-1.2248466,-0.0010890476,-0.98781526,-0.0006579673,-2.3460684,0.00065829046,-0.76144624,-0.00037304498,-0.974681,-0.00069481414,-2.5266464,-0.00087616406,-1.7967248,-0.0005234415,4.3837877e-05,0.00027921074,0.0009795139,-0.00010368647
-0.8547194,-0.0039029615,-1.8786349,0.0020580739,-0.66454965,0.0021751132,-0.73362833,0.00015144038,-1.8331136,0.0016998947,-0.90688926,-0.0036514206,-0.8300476,-0.0019211955,-1.9018686,0.0025865436,-0.6923835,-0.0020224513,-0.89103436,-0.0033657057,-1.9347591,-0.0024270006,-0.75861645,-0.0019513038,0.00019242469,0.00088602025,0.0030880962,0.0011315453
-0.91148055,-0.0028814254,-1.8145018,0.0015890189,-0.11263862,0.0014444962,-0.79521537,0.00026523106,-2.3842916,0.0013007796,-1.373838,-0.0022836477,-0.90669644,-0.0010771118,-2.1821537,0.0018393844,-0.8602437,-0.001325551,-0.9109355,-0.002176512,-2.1539195,-0.0017851265,-1.2353419,-0.0017174883,8.340948e-05,0.0007381274,0.002352883,0.00022806274
-0.97053885,-0.0014328072,-2.2576785,0.0009096954,-0.8373983,0.0010161521,-0.8705574,-1.6415492e-05,-2.116273,0.0006295652,-0.78248787,-0.0013160044,-0.95360756,-0.00088235363,-2.2395186,0.0012728125,-0.9211122,-0.0008084774,-0.978735,-0.0012450609,-2.1313412,-0.0011950042,-0.74198335,-0.0009360933,0.0001266587,0.0004660671,0.0012771273,0.0007979977
-1.0870535,0.0017519891,-2.604817,-0.000918163,-1.1045375,-0.0009225169,-0.95638424,0.00012238498,-2.5202234,-0.0005181981,-0.974581,0.001670951,-1.0671095,0.00082070753,-2.5415854,-0.0010286355,-1.0419811,0.0006525805,-1.0470123,0.0010906896,-2.3456223,0.0010138974,-0.668518,0.0008207243,-6.348139e-05,-0.00038490584,-0.0012219753,-0.0005304096
-1.1376603,0.00278073,-2.6421537,-0.0016113082,-0.9448935,-0.0014094552,-1.0119001,-5.7977275e-05,-2.608278,-0.0012028585,-1.0169665,0.0034095757,-1.1041052,0.0015928065,-2.6235976,-0.0020677224,-0.9779852,0.0014367187,-1.1016526,0.0028997129,-2.8206124,0.0025224248,-1.2907008,0.0013338858,-0.00015146984,-0.00062131323,-0.0021602437,-0.0015857103
-1.3361857,0.0084377155,-3.249937,-0.004406683,-1.0918775,-0.005092345,-1.1734488,-0.0008625048,-3.3420336,-0.004096572,-1.5176909,0.008114003,-1.2838789,0.004551097,-3.2114325,-0.005805472,-1.3184358,0.004404231,-1.2140934,0.008038131,-3.0662842,0.0059189294,-0.99426067,0.0044738716,-0.00044716615,-0.0018713516,-0.0067176893,-0.002924154
-1.1099837,0.0016288236,-2.6494915,-0.0011705924,-0.96649957,-0.0011992743,-0.9967977,-0.0005491562,-2.5239518,-0.0010255943,-0.94677216,0.0013745595,-1.0855044,0.0007079672,-2.6025639,-0.0009992607,-0.8905823,0.0011630487,-1.0941429,0.001857766,-2.7671018,0.0014069853,-1.2472538,0.0010073269,-0.00010313338,-0.0004423065,-0.0016555618,-0.000599422
-1.4990761,0.013585826,-3.2189434,-0.008257248,0.055520028,-0.007460178,-1.3413157,-0.0012849583,-4.4219837,-0.006286209,-2.068554,0.014206337,-1.5453393,0.008009483,-3.9344964,-0.009150926,-1.1451281,0.0070035625,-1.3613195,0.0124930525,-4.201956,0.009632943,-2.9468784,0.0069271186,-0.00062883156,-0.0029051304,-0.011221483,-0.007279471
-1.0303762,-0.00011196919,-2.2003262,1.1839904e-05,-0.5259407,0.00043952558,-0.9223204,2.0839972e-05,-2.36699,9.1759954e-05,-0.8302895,-0.0003751777,-1.0416907,-2.2280961e-05,-2.5511332,3.2726675e-05,-1.0234556,2.1785498e-05,-1.0148349,0.00022891443,-2.376765,-0.0002970714,-0.9518572,-0.00020767841,-4.334026e-05,0.0001237581,0.00013429858,-0.00030294945
-1.0918536,0.0020974446,-2.5802994,-0.0011653071,-1.1969831,-0.0010905378,-0.97616553,-0.00019954913,-2.6405313,-0.00091172894,-1.0201002,0.0022884924,-1.0588107,0.0010060351,-2.5260115,-0.0012576198,-0.87696165,0.0009706551,-1.0709581,0.0017453963,-2.6347291,0.0012671389,-1.2692728,0.00090800226,-2.4315144e-05,-0.00040517515,-0.0016815774,-0.0005811509
