FLH_1,FLH_2,FLK_1,FLK_2,FLA_1,FLA_2,FRH_1,FRH_2,FRK_1,FRK_2,FRA_1,FRA_2,RLH_1,RLH_2,RLK_1,RLK_2,RLA_1,RLA_2,RRH_1,RRH_2,RRK_1,RRK_2,RRA_1,RRA_2,FS_1,FS_2,RS_1,RS_2,FLT,FRT,RLT,RRT
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.892949186,0,-1.937964464,0,-0.616922949,0,-1.02858188,0,-2.443263036,0,-1.062367616,0,-1.035950066,0,-2.37287885,0,-0.339519066,0,0,0,0,0,1,1,1,0
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.889692249,0,-2.022209092,0,-0.625997695,0,-1.028581879,0,-2.443263025,0,-1.062367625,0,-1.029854878,0,-2.319692317,0,-0.164999681,0,0,0,0,0,1,1,1,0
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.893116972,0,-2.039565978,0,-0.680180946,0,-1.028581878,0,-2.44326302,0,-1.062367629,0,-1.022496685,0,-2.252258134,0,0.013783075,0,0,0,0,0,1,1,1,0
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.889148443,0,-2.119767406,0,-0.699616028,0,-1.028581877,0,-2.443263017,0,-1.062367631,0,-1.014377905,0,-2.170046684,0,0.198134151,0,0,0,0,0,1,1,1,0
-1.043759782,0,-2.443440939,0,-1.055497307,0,-0.891932036,0,-2.134476574,0,-0.758958456,0,-1.028581877,0,-2.443263016,0,-1.062367632,0,-1.006162676,0,-2.072687911,0,0.388317709,0,0,0,0,0,1,1,1,0
-1.040911844,0,-2.464670867,0,-1.029223741,0,-0.887417908,0,-2.211094998,0,-0.78609093,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-1.002374721,0,-2.008514348,0,0.414695161,0,0,0,0,0,1,1,1,1
-1.040599047,0,-2.448811924,0,-1.053480496,0,-0.88941736,0,-2.222262629,0,-0.850994597,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-1.000027543,0,-1.953650316,0,0.376925638,0,0,0,0,0,1,1,1,1
-1.040537035,0,-2.444822649,0,-1.060673617,0,-0.884483528,0,-2.295355345,0,-0.883479525,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.998133383,0,-1.901544711,0,0.318326632,0,0,0,0,0,1,1,1,1
-1.040521834,0,-2.443769704,0,-1.062625925,0,-0.885573321,0,-2.301949023,0,-0.954256532,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.996245431,0,-1.850254887,0,0.250970535,0,0,0,0,0,1,1,1,1
-1.040517856,0,-2.443488345,0,-1.063151151,0,-0.88038484,0,-2.371419102,0,-0.989872135,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.994110201,0,-1.799090498,0,0.178074247,0,0,0,0,0,1,1,1,1
