FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,-1.0471975511965974,0.0,-2.443460952792061,0.0,-1.0471975511965976,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0390974856460415,0.0,-2.478274535219684,0.0,-1.022581546177042,0.0,-1.0234754348320632,0.0,-2.524241096827239,0.0,-1.0317277016002109,0.0,-1.0234754348320632,0.0,-2.524241096827239,0.0,-1.0317277016002109,0.0,-1.0390974856460415,0.0,-2.478274535219684,0.0,-1.022581546177042,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0364157648597239,0.0,-2.452494196571722,0.0,-0.6139064036989597,0.0,-1.0153317522595513,0.0,-2.4799000491756784,0.0,-1.0518086285308677,0.0,-1.0153317522595513,0.0,-2.4799000491756784,0.0,-1.0518086285308677,0.0,-1.0364157648597239,0.0,-2.452494196571722,0.0,-0.6139064036989597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-1.025335134527169,0.0,-2.365383582700539,0.0,-0.20058369642824925,0.0,-1.0119124235316024,0.0,-2.460450460480603,0.0,-1.0647984176827352,0.0,-1.0119124235316024,0.0,-2.460450460480603,0.0,-1.0647984176827352,0.0,-1.025335134527169,0.0,-2.365383582700539,0.0,-0.20058369642824925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-1.0049496263600837,0.0,-2.1901078475520794,0.0,0.182033803076033,0.0,-1.0103441492844638,0.0,-2.451326375553544,0.0,-1.0716209287864675,0.0,-1.0103441492844638,0.0,-2.451326375553544,0.0,-1.0716209287864675,0.0,-1.0049496263600837,0.0,-2.1901078475520794,0.0,0.182033803076033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.9831602522551988,0.0,-1.9362166057851375,0.0,0.5751318717893891,0.0,-1.009594188404952,0.0,-2.4469130581271146,0.0,-1.0750752344923988,0.0,-1.009594188404952,0.0,-2.4469130581271146,0.0,-1.0750752344923988,0.0,-0.9831602522551988,0.0,-1.9362166057851375,0.0,0.5751318717893891,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.89979041367621,0.0,-1.682177004482055,0.0,1.1491239135110436,0.0,-1.0092281939068712,0.0,-2.4447469018987107,0.0,-1.076806145974226,0.0,-1.0092281939068712,0.0,-2.4447469018987107,0.0,-1.076806145974226,0.0,-0.89979041367621,0.0,-1.682177004482055,0.0,1.1491239135110436,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.875052908390697,0.0,-1.347705147747817,0.0,1.4225059288604354,0.0,-1.0090477873377628,0.0,-2.4436760945876674,0.0,-1.0776702674456544,0.0,-1.0090477873377628,0.0,-2.4436760945876674,0.0,-1.0776702674456544,0.0,-0.875052908390697,0.0,-1.347705147747817,0.0,1.4225059288604354,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0582464990952518,0.0,-0.678927741248716,0.0,2.0012089989294473,0.0,-1.0089584197824593,0.0,-2.4431448931871884,0.0,-1.0781009985908216,0.0,-1.0089584197824593,0.0,-2.4431448931871884,0.0,-1.0781009985908216,0.0,-1.0582464990952518,0.0,-0.678927741248716,0.0,2.0012089989294473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.9179325321864811,0.0,-0.5695360230953015,0.0,2.0650543647694293,0.0,-1.0089140410690334,0.0,-2.4428809179731314,0.0,-1.0783155524222598,0.0,-1.0089140410690334,0.0,-2.4428809179731314,0.0,-1.0783155524222598,0.0,-0.9179325321864811,0.0,-0.5695360230953015,0.0,2.0650543647694293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
