FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.139264666539873,0.0,-2.4386984933175464,0.0,-0.97353212785353,0.0,-1.1510782229575285,0.0,-2.4967801016513285,0.0,-0.9467947718631313,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.139264666539873,0.0,-2.4386984933175464,0.0,-0.97353212785353,0.0,-1.1510782229575285,0.0,-2.4967801016513285,0.0,-0.9467947718631313,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1445424199114536,0.0,-2.4628456283357725,0.0,-0.7787750533430944,0.0,-1.1562454906378785,0.0,-2.519937250715876,0.0,-0.7513761838820008,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.147337802296065,0.0,-2.4753674834944706,0.0,-0.5793387858902208,0.0,-1.1579400999614973,0.0,-2.5275091526385207,0.0,-0.5556358159973414,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1426631144457784,0.0,-2.452986904600645,0.0,-0.39184060311599334,0.0,-1.1519186378087256,0.0,-2.4981345785389717,0.0,-0.36907639218369015,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.131493091274204,0.0,-2.389508438339989,0.0,-0.202896328422705,0.0,-1.1398540600072877,0.0,-2.425383083261657,0.0,-0.17610793634371102,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.118034309478495,0.0,-2.2796142809581856,0.0,-7.0579840034668e-05,0.0,-1.1270524127027786,0.0,-2.300310367030974,0.0,0.035126862492810496,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1104334066566897,0.0,-2.112337098237627,0.0,0.2239192255084208,0.0,-1.125122961205573,0.0,-2.106206017184719,0.0,0.27354446062176363,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1233812217889598,0.0,-1.8741682470966419,0.0,0.4749164804662036,0.0,-1.156500448915767,0.0,-1.8219895288759096,0.0,0.5474361589875492,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1743544599494657,0.0,-1.5638369128396223,0.0,0.7518138348920371,0.0,-1.2807531598737794,0.0,-1.367883596411977,0.0,1.1948144432208991,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1703525943413093,0.0,-1.5925367677345292,0.0,0.8650394358119691,0.0,-1.2531278453070742,0.0,-1.464868989546364,0.0,1.0910994790456545,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1706965703757901,0.0,-1.6128271209926286,0.0,0.6404058058928022,0.0,-1.2490064468733597,0.0,-1.5315556028584014,0.0,0.8053933162138405,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1685745072406193,0.0,-1.5958737004452326,0.0,0.43154573092961934,0.0,-1.2493813361420907,0.0,-1.5359437199050654,0.0,0.5515588510498679,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1614701992972836,0.0,-1.5601592516968958,0.0,0.25960142281172605,0.0,-1.2450963543126239,0.0,-1.5119884047295797,0.0,0.35998717778406153,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1494642170935863,0.0,-1.5128183442340197,0.0,0.10379535799720196,0.0,-1.2354755348060897,0.0,-1.473057044098395,0.0,0.1935719019218336,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1329922855805163,0.0,-1.4570865924019225,0.0,-0.04329881102522393,0.0,-1.220741354252111,0.0,-1.4239421668433767,0.0,0.03918686384922454,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1126684928970532,0.0,-1.3951654123527515,0.0,-0.184272777436028,0.0,-1.201381773832387,0.0,-1.3674087951248146,0.0,-0.10755950307277029,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.0893295694122238,0.0,-1.3291881293467722,0.0,-0.31916355112889194,0.0,-1.1780972303658874,0.0,-1.3057558927340778,0.0,-0.24778695985858779,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.084758829523928,0.0,-1.3161468540506758,0.0,-0.4082162187892906,0.0,-1.173790501804719,0.0,-1.2945649396793484,0.0,-0.3877859725372579,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.0898772482661134,0.0,-1.3311606212905995,0.0,-0.4723794816746478,0.0,-1.1801164563984021,0.0,-1.3113072749919041,0.0,-0.4480243139910871,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1011978609721207,0.0,-1.3656407957407057,0.0,-0.515994443458438,0.0,-1.1934174497864927,0.0,-1.3476550757101746,0.0,-0.48667264607273975,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1171758648912236,0.0,-1.4164149910452601,0.0,-0.5410795287336425,0.0,-1.2119917182351871,0.0,-1.4005499955432983,0.0,-0.5056381105611649,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1370180927853837,0.0,-1.4822531744365048,0.0,-0.5484196089176097,0.0,-1.2347989900101815,0.0,-1.4686295955358117,0.0,-0.5061074457263377,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1600260924869432,0.0,-1.5618359774153752,0.0,-0.5399897799259081,0.0,-1.2607295651790604,0.0,-1.5500294179077416,0.0,-0.49132431994859926,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.1850936991882839,0.0,-1.6520335801442703,0.0,-0.5216813832229832,0.0,-1.2881723144097763,0.0,-1.6407593755123964,0.0,-0.4690688638354401,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.210590951341389,0.0,-1.7473198079995442,0.0,-0.503822025854261,0.0,-1.3151924216559334,0.0,-1.7348023396182692,0.0,-0.450692664523793,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.2349103859625088,0.0,-1.8415300508561123,0.0,-0.4970412775481714,0.0,-1.3403085991533925,0.0,-1.8265345917240876,0.0,-0.4457093364320399,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.2571774100821638,0.0,-1.930635272184221,0.0,-0.5068663211586859,0.0,-1.363022609146228,0.0,-1.9130796088699884,0.0,-0.4575232163568983,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.277338672760779,0.0,-2.0135760423127906,0.0,-0.5330870461222577,0.0,-1.3835790444754847,0.0,-1.994199030436242,0.0,-0.4847124495288595,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.2957307293441742,0.0,-2.090969694326357,0.0,-0.5730005844607509,0.0,-1.4024378002364495,0.0,-2.0707165925194184,0.0,-0.524517294608625,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.3126938875815473,0.0,-2.1636720240886125,0.0,-0.6239837502257655,0.0,-1.4199633600877313,0.0,-2.143357729878986,0.0,-0.5746907518532764,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.328428919967771,0.0,-2.232160184146968,0.0,-0.6841762343754443,0.0,-1.4363560749661621,0.0,-2.2124080604144054,0.0,-0.6337138739118156,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.342998734089722,0.0,-2.296493596630983,0.0,-0.7523040993894727,0.0,-1.451682266155713,0.0,-2.2777815614475676,0.0,-0.700516824675359,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9275127129683773,0.0,-1.841525582272566,0.0,-2.907035663790257,0.0,-1.3563692950114836,0.0,-2.3564521177513176,0.0,-0.827414848369695,0.0,-1.4659171204384651,0.0,-2.339168288717631,0.0,-0.7742450798473883,0.0,-0.9275127129227339,0.0,-1.8415255821585985,0.0,-2.907035664092665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.913803662613907,0.0,-1.7640488073899858,0.0,3.0597240243581663,0.0,-1.3684483033721788,0.0,-2.411667710235107,0.0,-0.9087217014834859,0.0,-1.478977824228644,0.0,-2.396149160977589,0.0,-0.8541474396496027,0.0,-0.9138036625903276,0.0,-1.7640488072784986,0.0,3.059724023977288,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.919861819513303,0.0,-1.6954375799583272,0.0,2.6695830761571315,0.0,-1.3791154359450677,0.0,-2.4617120471629943,0.0,-0.9955380421334072,0.0,-1.4907481423961162,0.0,-2.4482678153320103,0.0,-0.9395405979797045,0.0,-0.9198618195008206,0.0,-1.6954375799006032,0.0,2.6695830758483208,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9225386781116662,0.0,-1.686929305331565,0.0,2.3342471968026777,0.0,-1.3882472943118187,0.0,-2.5061490899662986,0.0,-1.087256246406588,0.0,-1.5010988967765444,0.0,-2.495072874991358,0.0,-1.0298070453634458,0.0,-0.9225386780829692,0.0,-1.6869293053308096,0.0,2.33424719651158,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.8942456143371342,0.0,-1.74125920457455,0.0,2.009755965803656,0.0,-1.3957404285439687,0.0,-2.5445669657212395,0.0,-1.1833404361674327,0.0,-1.5099071573431977,0.0,-2.536142685441862,0.0,-1.124401427184551,0.0,-0.8942456142716018,0.0,-1.741259204623769,0.0,2.0097559655227615,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.8226149434749397,0.0,-1.8347662724432623,0.0,1.7103885093651936,0.0,-1.4015347871656587,0.0,-2.576600037901962,0.0,-1.2833160801531136,0.0,-1.5170756770004785,0.0,-2.5711007170279268,0.0,-1.2228520853670983,0.0,-0.8226149433728067,0.0,-1.8347662725037237,0.0,1.710388509121504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.713215023236009,0.0,-1.9251632061176696,0.0,1.4687931672268872,0.0,-1.4056395568572784,0.0,-2.601949452014455,0.0,-1.3867459093019212,0.0,-1.5225538797644411,0.0,-2.5996279533587003,0.0,-1.3247497193874613,0.0,-0.7132150231063217,0.0,-1.9251632061527184,0.0,1.4687931670506797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.5748659492764348,0.0,-1.9893177592221147,0.0,1.3006363999888277,0.0,-1.4081633921483525,0.0,-2.620409649168242,0.0,-1.4931839115667653,0.0,-1.5263621161117777,0.0,-2.621478419740471,0.0,-1.4297166031519346,0.0,-0.5748659491288826,0.0,-1.9893177592175109,0.0,1.3006363998831105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.4218797659599831,0.0,-2.017569707655113,0.0,1.186286065049277,0.0,-1.40935071204261,0.0,-2.6319083169133264,0.0,-1.6021002405804543,0.0,-1.528621320004155,0.0,-2.6365046924945967,0.0,-1.5373495608859198,0.0,-0.4218797658079483,0.0,-2.017569707602964,0.0,1.1862860649938511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
