Front Left,Front Right,Back Left,Back Right
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.11472602547777755, -0.14022825876352402), -1.4586232967187263)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.34906585 -1.4586233  -0.21460347         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.11523077002634308, -0.14160734326114263), -1.3579575818535616)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.35264768 -1.35795758 -0.40919697         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.11694413903844764, -0.14617868306632073), -1.260229313292201)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.36455479 -1.26022931 -0.5734716          inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.12363943125171079, -0.16264292880867665), -1.1157538770882214)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-0.40790825 -1.11575388 -0.77240647         inf]
"((-0.2917054901498959, -0.3531478403817654), -2.4777686151300875)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20399611700704812, -0.16120044741267545), -2.4756776872423556)","((-0.13382902397818763, -0.18444190499784283), -1.1435302304891115)"
[-1.03789396 -2.47776862 -0.6078425          inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6687449  -2.47567769 -1.10634944         inf],[-0.46660668 -1.14353023 -0.81231821         inf]
"((-0.2882878511685573, -0.35110962111165944), -2.405483841719321)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.2024257692139923, -0.16316803595717985), -2.521878792335894)","((-0.13938191834375868, -0.195075880576181), -1.1979334511916777)"
[-1.02818839 -2.40548384 -0.24594223         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.67842731 -2.52187879 -0.85860289         inf],[-0.49586748 -1.19793345 -0.79446438         inf]
"((-0.28162024819383713, -0.3470018501407142), -2.2624776097679877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20185843725169797, -0.16386937270369442), -2.5351257898021444)","((-0.1439817857943782, -0.20334952951467578), -1.2529532764084497)"
[-1.00908714 -2.26247761  0.10887558         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.68189683 -2.53512579 -0.62809194         inf],[-0.51895669 -1.25295328 -0.8488676          inf]
"((-0.2727447297364549, -0.341255098331795), -2.0575677386246864)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20383267466850968, -0.16140706532702181), -2.491746176452269)","((-0.14780619679822732, -0.209903608797636), -1.3158533194094844)"
[-0.98329727 -2.05756774  0.47416539         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.66975815 -2.49174618 -0.42214727         inf],[-0.53746497 -1.31585332 -0.90388743         inf]
"((-0.23167311906752186, -0.3100011047868179), -1.9301555619547743)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.2080872321351589, -0.15588362268797995), -2.392480146100227)","((-0.15076337598298428, -0.21478775673952552), -1.3859147175744004)"
[-0.85733367 -1.93015556  0.93996086         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.64294172 -2.39248015 -0.2164956          inf],[-0.55139099 -1.38591472 -0.96678747         inf]
"((-0.17726495570227135, -0.2528677345612585), -1.935314016184483)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.21352872087024397, -0.1483424597460803), -2.2416634529595862)","((-0.15284531951581215, -0.21813671817903882), -1.4628222186327653)"
[-0.66460795 -1.93531402  0.99184061         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-6.07172870e-01 -2.24166345e+00  1.42875725e-03             inf],[-0.56100896 -1.46282222 -1.03684887         inf]
"((-0.15229924617030893, -0.21726524293191612), -1.8283611485989333)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.21882802822684125, -0.14040759973147024), -2.0431789666068596)","((-0.15298798815967773, -0.21836360419843784), -1.6592808096390073)"
[-0.5585006  -1.82836115  0.85721279         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.57047184 -2.04317897  0.23318618         inf],[-0.56166266 -1.65928081 -0.89798652         inf]
"((-0.11472602547777755, -0.14022825876352402), -1.801861467219382)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.2227839035008055, -0.13404227818469727), -1.8062971277102982)","((-0.15146347600034726, -0.21592195682292123), -1.6734115291482494)"
[-0.34906585 -1.80186147  1.13558757         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.54164616 -1.80629713  0.474886           inf],[-0.5546419  -1.67341153 -1.1729962          inf]
"((-0.11472602547777755, -0.14022825876352402), -1.7506363357292996)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.2232214048098559, -0.13331243165854587), -1.786098912801732)","((-0.15200703798652015, -0.21679690585680594), -1.8617150854789521)"
[-0.34906585 -1.75063634  0.829818           inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.53837335 -1.78609891  0.48096695         inf],[-0.55715421 -1.86171509 -1.02930216         inf]
"((-0.11472602547777755, -0.14022825876352402), -1.7140966249957863)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.22488410216793112, -0.13048808601601727), -1.72200425272948)","((-0.15104066971099112, -0.21523797481914378), -1.8697525255862706)"
[-0.34906585 -1.71409662  0.54042135         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.5257678  -1.72200425  0.29975495         inf],[-0.55268065 -1.86975253 -1.31936859         inf]
"((-0.11472602547777755, -0.14022825876352402), -1.644987247444396)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.226877937274263, -0.1269897695807642), -1.650320919372409)","((-0.15298789313562117, -0.2183634531911073), -2.03910680726184)"
[-0.34906585 -1.64498725  0.23804076         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.51028068 -1.65032092  0.15281803         inf],[-0.56166222 -2.03910681 -1.22005789         inf]
"((-0.11472602547777755, -0.14022825876352402), -1.5562460455053184)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.22908719097278676, -0.12295958251473506), -1.5714124722589773)","((-0.15394341317230686, -0.21987459769870474), -2.0332464906864907)"
