Front Left,Front Right,Back Left,Back Right
"((-0.2937805636443199, -0.3543635761039015), -2.4434409397001917)","((0.1548866387603345, -0.20883038364549744), -1.9956885662342936)","((0.13416873203396287, -0.2227077711809776), -2.4432663601080176)","((-0.2937805636443199, -0.3543635761039015), -2.4434409397001917)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.93263724 -1.99568857 -0.32850189         inf],[-1.02858246 -2.44326636 -1.06236495         inf],[-1.04375978 -2.44344094 -1.05549731         inf]
"((-0.29378056364195404, -0.35436357610252467), -2.4434409392959204)","((0.1578140747719636, -0.20662700163306122), -1.9335232142852643)","((0.1341687986006359, -0.22270773107833955), -2.4432646394352693)","((-0.29378056364195404, -0.35436357610252467), -2.4434409392959204)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.91854488 -1.93352321 -0.37067424         inf],[-1.02858216 -2.44326464 -1.06236633         inf],[-1.04375978 -2.44344094 -1.05549731         inf]
"((-0.2937805636413327, -0.3543635761021631), -2.443440939189758)","((0.16073348305462218, -0.20436425182778295), -1.8715034032826452)","((0.13416883093111592, -0.22270771160105263), -2.4432638037273193)","((-0.2937805636413327, -0.3543635761021631), -2.443440939189758)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.90433845 -1.8715034  -0.41650479         inf],[-1.02858201 -2.4432638  -1.062367           inf],[-1.04375978 -2.44344094 -1.05549731         inf]
"((-0.29378056364116933, -0.35436357610206803), -2.4434409391618788)","((0.16363183514056093, -0.20205103941462982), -1.8094105151163937)","((0.13416884663362919, -0.22270770214117358), -2.443263397833897)","((-0.29378056364116933, -0.35436357610206803), -2.4434409391618788)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.89007569 -1.80941052 -0.46553251         inf],[-1.02858194 -2.4432634  -1.06236733         inf],[-1.04375978 -2.44344094 -1.05549731         inf]
"((-0.2937805636411266, -0.35436357610204317), -2.4434409391545575)","((0.163761874924002, -0.20194565685197474), -1.8064801286738046)","((0.1341688542601598, -0.2227076975466183), -2.4432632006960135)","((-0.29406521328314805, -0.3545290730248856), -2.4557003478344432)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.88943192 -1.80648013 -0.52653056         inf],[-1.02858191 -2.4432632  -1.06236748         inf],[-1.04456286 -2.45570035 -0.84639089         inf]
"((-0.29378056364111527, -0.35436357610203656), -2.443440939152635)","((0.16281295811687133, -0.20271147147912943), -1.828620609744295)","((0.13416885796428177, -0.22270769531509318), -2.4432631049482905)","((-0.2939883430983685, -0.3544844104056544), -2.453517088295986)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.89412189 -1.82862061 -0.57011112         inf],[-1.02858189 -2.4432631  -1.06236756         inf],[-1.04434603 -2.45351709 -0.63748487         inf]
"((-0.2937805636411124, -0.3543635761020349), -2.4434409391521297)","((0.16327195185362064, -0.20234196237535354), -1.9179983910378393)","((0.13416885976333384, -0.22270769423126552), -2.443263058444649)","((-0.2930328074586962, -0.35392736714129763), -2.4306398488648133)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.89185555 -1.91799839 -0.56553576         inf],[-1.02858188 -2.44326306 -1.0623676          inf],[-1.04164834 -2.43063985 -0.43969785         inf]
"((-0.2937805636411115, -0.35436357610203434), -2.4434409391519973)","((0.16245859890427417, -0.20299557542483573), -1.9375706041338736)","((0.1341688606371142, -0.22270769370486204), -2.443263035858326)","((-0.29115346308144624, -0.3528216603570806), -2.3886124410065115)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.89586876 -1.9375706  -0.6146521          inf],[-1.02858188 -2.44326304 -1.06236762         inf],[-1.03633008 -2.38861244 -0.24171727         inf]
"((-0.29378056364111116, -0.3543635761020342), -2.4434409391519627)","((0.1631237528404964, -0.20246145623113712), -2.0217396587763616)","((0.13416886106150006, -0.22270769344919342), -2.443263024888389)","((-0.28837933392568416, -0.35116476715391437), -2.3273395518292164)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.89258776 -2.02173966 -0.62387479         inf],[-1.02858188 -2.44326302 -1.06236762         inf],[-1.02844892 -2.32733955 -0.0379188          inf]
