Front Left,Front Right,Back Left,Back Right
"((-0.2609045756395634, -0.3330666270431529), -2.317709760018592)","((0.17288005708900248, -0.1941970284553892), -2.419229183088034)","((0.15551113155174354, -0.20836575525622325), -2.065434880101064)","((-0.26374762538844687, -0.335089264958462), -2.6464136528085835)"
[-0.94818366 -2.31770976 -0.84092229         inf],[-0.84340521 -2.41922918 -1.21828802         inf],[-0.92964348 -2.06543488 -0.30254343         inf],[-0.95669374 -2.64641365 -1.6579028          inf]
"((-0.2609634116479781, -0.33310885522457373), -2.337535901579569)","((0.17288119478763464, -0.19419601563574868), -2.4191709747709043)","((0.1584224412699656, -0.206160932531031), -2.002349960391948)","((-0.26352296896039085, -0.33493075969622693), -2.6547319780474763)"
[-0.94836029 -2.3375359  -0.97143452         inf],[-0.84339935 -2.41917097 -1.21834124         inf],[-0.91559728 -2.00234996 -0.33996191         inf],[-0.95602315 -2.65473198 -1.40887695         inf]
"((-0.26082635148704814, -0.33301045908049637), -2.3942931677870622)","((0.17288187965197768, -0.1941954059394792), -2.419135926129382)","((0.161317822746358, -0.20390331057727984), -1.9397410562555981)","((-0.2640337279949426, -0.3352907968853831), -2.607445323890945)"
[-0.94794878 -2.39429317 -1.03483871         inf],[-0.84339582 -2.41913593 -1.21837329         inf],[-0.90147592 -1.93974106 -0.38154512         inf],[-0.9575473  -2.60744532 -1.29998211         inf]
"((-0.2607206163793623, -0.33293449291734206), -2.4006316647926638)","((0.1728822919992216, -0.19419503884779313), -2.4191148206470627)","((0.16419226200180723, -0.20159588561954805), -1.8772988396056478)","((-0.2645101345368613, -0.33562557003922217), -2.540416091885272)"
[-0.94763123 -2.40063166 -1.18665231         inf],[-0.8433937  -2.41911482 -1.21839259         inf],[-0.88729887 -1.87729884 -0.42681459         inf],[-0.95896746 -2.54041609 -1.23665063         inf]
"((-0.2614419709347593, -0.33345174578716447), -2.4549853344199297)","((0.17288254029569738, -0.19419481780136816), -2.419102110744456)","((0.16703295594047682, -0.19924856744726357), -1.8148068255712042)","((-0.26503112666234896, -0.33599051856032325), -2.4676282098174864)"
[-0.9497962  -2.45498533 -1.23527655         inf],[-0.84339242 -2.41910211 -1.21840421         inf],[-0.87312556 -1.81480683 -0.47530059         inf],[-0.96051892 -2.46762821 -1.19245611         inf]
"((-0.2617517286518082, -0.33367313526803194), -2.4483131645873057)","((0.17288268981851637, -0.19419468468811052), -2.4190944564895083)","((0.16719017076175827, -0.19911666630559613), -1.8111518387065937)","((-0.26541569597797454, -0.336259132673749), -2.444941864842678)"
[-0.95072483 -2.44831316 -1.40130752         inf],[-0.84339165 -2.41909446 -1.21841121         inf],[-0.87233626 -1.81115184 -0.53734078         inf],[-0.96166305 -2.44494186 -1.23153679         inf]
"((-0.26177114318314987, -0.33368699671958557), -2.4480757721466855)","((0.1728827798640428, -0.19419460452463894), -2.419089846797485)","((0.16630436127615478, -0.19985709749851316), -1.832543032465554)","((-0.26559168701049185, -0.3363818407723769), -2.4364648718058146)"
[-0.95078302 -2.44807577 -1.55283031         inf],[-0.84339119 -2.41908985 -1.21841543         inf],[-0.87677669 -1.83254303 -0.58206386         inf],[-0.96218633 -2.43646487 -1.24736563         inf]
"((-0.26195042825400616, -0.33381492086416525), -2.4466855690169735)","((0.17288283409253064, -0.19419455624742554), -2.4190870706285614)","((0.16675705612803163, -0.1994795333649859), -1.9217459212262389)","((-0.26566673592380774, -0.33643412631211705), -2.4330994492772424)"
[-0.9513202  -2.44668557 -1.69934294         inf],[-0.84339091 -2.41908707 -1.21841797         inf],[-0.87450946 -1.92174592 -0.57752671         inf],[-0.96240942 -2.43309945 -1.2537884          inf]
"((-0.2628116548649771, -0.3344274045770012), -2.4423187637890114)","((0.1728828667512598, -0.1941945271727969), -2.419085398680156)","((0.1659947336969523, -0.2001143382790896), -1.9407212400501814)","((-0.2656980915864455, -0.3364559640038593), -2.431731990484991)"
[-0.95389779 -2.44231876 -1.84224785         inf],[-0.84339074 -2.4190854  -1.2184195          inf],[-0.87832494 -1.94072124 -0.62760624         inf],[-0.96250262 -2.43173199 -1.25641844         inf]
"((-0.2649089034107009, -0.3359050108355647), -2.435410686457214)","((0.1728828864199277, -0.19419450966264312), -2.419084391744628)","((0.16664165867614789, -0.19957594442633167), -2.024855496333032)","((-0.26571109654670905, -0.3364650200520917), -2.4311711655057593)"
[-0.9601551  -2.43541069 -1.97926965         inf],[-0.84339064 -2.41908439 -1.21842042         inf],[-0.87508781 -2.0248555  -0.63650159         inf],[-0.96254127 -2.43117117 -1.25750033         inf]
"((-0.26934302747426403, -0.338965132462414), -2.4332637104532155)","((0.17288289826541536, -0.19419449911712236), -2.4190837853134135)","((0.16599077971639964, -0.20011761803784717), -2.0416423400560015)","((-0.2657164750930076, -0.3364687652028857), -2.4309402848161037)"
[-0.97329559 -2.43326371 -2.08634484         inf],[-0.84339058 -2.41908379 -1.21842097         inf],[-0.8783447  -2.04164234 -0.69151184         inf],[-0.96255725 -2.43094028 -1.25794627         inf]
"((-0.278723581163685, -0.3451619134072815), -2.4608545319846202)","((0.17288290539940301, -0.1941944927660439), -2.419083420087077)","((0.16677464382070525, -0.19946482942733768), -2.1217949586759435)","((-0.26571869698197925, -0.3364703122954213), -2.4308450875541645)"
[-1.0007173  -2.46085453 -2.08419786         inf],[-0.84339054 -2.41908342 -1.21842131         inf],[-0.87442129 -2.12179496 -0.71053417         inf],[-0.96256386 -2.43084509 -1.25813023         inf]
"((-0.2895566569990955, -0.3518715666071978), -2.4855835333981213)","((0.1728829096958812, -0.1941944889410763), -2.419083200127426)","((0.16625220534089813, -0.1999004857905249), -2.1358809844935402)","((-0.26571961441866193, -0.3364709510966133), -2.4308058103996033)"
[-1.03179817 -2.48558353 -2.11178868         inf],[-0.84339052 -2.4190832  -1.21842151         inf],[-0.87703763 -2.13588098 -0.77070177         inf],[-0.96256659 -2.43080581 -1.25820615         inf]
"((-0.2881802465949142, -0.35104471519652397), -2.4888640283333947)","((0.17288291228345873, -0.19419448663746852), -2.4190830676553947)","((0.1671411302438222, -0.19915783334033754), -2.212436559210534)","((-0.26571999316297057, -0.3364712148110762), -2.4307896008656598)"
[-1.02788189 -2.48886403 -2.11560702         inf],[-0.84339051 -2.41908307 -1.21842163         inf],[-0.87258252 -2.21243656 -0.79727835         inf],[-0.96256771 -2.4307896  -1.25823748         inf]
"((-0.28085949170929875, -0.34652191507333713), -2.5114466400405178)","((0.1728829138418426, -0.19419448525010705), -2.419082987873286)","((0.1667754305880751, -0.19946417160022034), -2.222914002402373)","((-0.2657201495071171, -0.3364713236711747), -2.4307829105213195)"
[-1.00689325 -2.51144664 -2.04698745         inf],[-0.8433905  -2.41908299 -1.2184217          inf],[-0.87441734 -2.222914   -0.86299697         inf],[-0.96256818 -2.43078291 -1.25825041         inf]
"((-0.27077316148743436, -0.33993390020051567), -2.5605729977208362)","((0.17288291478038897, -0.19419448441455994), -2.4190829398240026)","((0.1677420741079322, -0.19865194832663732), -2.295915889630001)","((-0.265720214043245, -0.336471368606687), -2.4307801490153325)"
[-0.97750868 -2.560573   -1.91096216         inf],[-0.84339049 -2.41908294 -1.21842174         inf],[-0.86956126 -2.29591589 -0.89480748         inf],[-0.96256837 -2.43078015 -1.25825575         inf]
"((-0.2629536210152139, -0.3345280469709545), -2.6438223375304517)","((0.17288291534563452, -0.19419448391134642), -2.4190829108860123)","((0.16755510628984052, -0.19880967369874197), -2.3017692682198763)","((-0.26572024068226896, -0.3364713871550239), -2.4307790091551382)"
[-0.95432223 -2.64382234 -1.66760213         inf],[-0.84339049 -2.41908291 -1.21842177         inf],[-0.87050207 -2.30176927 -0.96636273         inf],[-0.96256845 -2.43077901 -1.25825795         inf]
"((-0.2626899926142682, -0.3343410839166851), -2.6530125319161293)","((0.17288291568605715, -0.19419448360828287), -2.4190828934579196)","((0.16856312013349906, -0.19795573881769524), -2.3711236338056247)","((-0.2657202516781818, -0.3364713948113056), -2.4307785386541707)"
[-0.95353395 -2.65301253 -1.41637883         inf],[-0.84339049 -2.41908289 -1.21842179         inf],[-0.86542093 -2.37112363 -1.00120261         inf],[-0.96256848 -2.43077854 -1.25825886         inf]
"((-0.26323981003099783, -0.3347306565671002), -2.606596723403731)","((0.1728829158910789, -0.19419448342576096), -2.419082882961737)","((0.1685547615507846, -0.19796285600727767), -2.371423129039475)","((-0.265720256217005, -0.33647139797161685), -2.4307783444445086)"
[-0.95517747 -2.60659672 -1.30562601         inf],[-0.84339049 -2.41908288 -1.2184218          inf],[-0.86546315 -2.37142313 -1.078646           inf],[-0.96256849 -2.43077834 -1.25825924         inf]
"((-0.2637647735722947, -0.33510135451031947), -2.5400106477634306)","((0.1728829160145546, -0.1941944833158359), -2.419082876640343)","((0.1695496454879912, -0.19711143476444107), -2.437017871740548)","((-0.2657202580905098, -0.3364713992761088), -2.430778264280079)"
[-0.95674492 -2.54001065 -1.24144226         inf],[-0.84339049 -2.41908288 -1.2184218          inf],[-0.86042672 -2.43701787 -1.11444667         inf],[-0.9625685  -2.43077826 -1.25825939         inf]
"((-0.2643313308024114, -0.33550004226324254), -2.4674425236942734)","((0.17288291608891856, -0.19419448324963287), -2.4190828728332416)","((0.16968373157129088, -0.1969960183355037), -2.431061832811624)","((-0.26572025886384243, -0.33647139981456814), -2.4307782311903794)"
[-0.95843462 -2.46744252 -1.19676798         inf],[-0.84339049 -2.41908287 -1.21842181         inf],[-0.85974627 -2.43106183 -1.19754066         inf],[-0.9625685  -2.43077823 -1.25825946         inf]
"((-0.2647355701483808, -0.3357836327854479), -2.4446146800030046)","((0.17288291613370474, -0.19419448320976174), -2.4190828705403904)","((0.16960153624885912, -0.19706678792233595), -2.4360143760676616)","((-0.2657202591830531, -0.3364714000368295), -2.4307782175318473)"
[-0.95963899 -2.44461468 -1.2361286          inf],[-0.84339049 -2.41908287 -1.21842181         inf],[-0.86016344 -2.43601438 -1.27464188         inf],[-0.9625685  -2.43077822 -1.25825948         inf]
"((-0.2649212646893819, -0.3359136618310728), -2.436015288351051)","((0.17288291616067758, -0.19419448318574895), -2.4190828691595057)","((0.17018703526573614, -0.19656137216518174), -2.5057162884145603)","((-0.2657202593148146, -0.3364714001285729), -2.4307782118939745)"
[-0.9601919  -2.43601529 -1.25218057         inf],[-0.84339049 -2.41908287 -1.21842181         inf],[-0.85718855 -2.50571629 -1.29817617         inf],[-0.9625685  -2.43077821 -1.25825949         inf]
"((-0.2650010515468272, -0.3359694840694657), -2.432572864497013)","((0.17288291617692217, -0.19419448317128707), -2.419082868327859)","((0.17030601895677946, -0.19645829050231775), -2.4945044074767244)","((-0.26572025936920224, -0.3364714001664422), -2.4307782095668125)"
[-0.96042941 -2.43257286 -1.25874714         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85658307 -2.49450441 -1.38601191         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.26503467163837235, -0.3359929976471422), -2.4311621167724686)","((0.17288291618670554, -0.19419448316257737), -2.4190828678269938)","((0.1703124548611727, -0.19645271115248328), -2.4908381902740735)","((-0.2657202593916519, -0.33647140018207355), -2.430778208606223)"
[-0.96052947 -2.43116212 -1.26145915         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85655031 -2.49083819 -1.46870725         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.26504873920189975, -0.33600283488295607), -2.43057846745977)","((0.17288291619259763, -0.1941944831573319), -2.4190828675253444)","((0.1703034456810502, -0.1964605211974192), -2.4897042266611455)","((-0.2657202594009185, -0.33647140018852584), -2.4307782082097176)"
[-0.96057134 -2.43057847 -1.26258457         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85659617 -2.48970423 -1.54866988         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.26505460928477215, -0.33600693948439353), -2.430336058544778)","((0.17288291619614624, -0.19419448315417276), -2.419082867343674)","((0.1702832000290297, -0.196478069483272), -2.488645167240919)","((-0.2657202594047434, -0.33647140019118904), -2.4307782080460507)"
[-0.96058881 -2.43033606 -1.26305257         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85669922 -2.48864517 -1.62733336         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.26505705600566765, -0.3360086502863817), -2.430235215222123)","((0.17288291619828342, -0.19419448315227011), -2.4190828672342626)","((0.17021074633723543, -0.19654084011044956), -2.486413105759642)","((-0.26572025940632227, -0.33647140019228833), -2.430778207978493)"
[-0.96059609 -2.43023522 -1.26324736         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85706792 -2.48641311 -1.70539232         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650580753588575, -0.33600936303310913), -2.430193235704727)","((0.17288291619957047, -0.1941944831511243), -2.4190828671683686)","((0.1700161016654528, -0.1967092401858195), -2.482431200907974)","((-0.2657202594069741, -0.3364714001927422), -2.430778207950608)"
[-0.96059913 -2.43019324 -1.26332846         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85805785 -2.4824312  -1.78303374         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650584999608549, -0.3360096599197058), -2.430175755394601)","((0.17288291620034557, -0.19419448315043425), -2.4190828671286835)","((0.1705495398693508, -0.1962469221423682), -2.4971091300498705)","((-0.26572025940724303, -0.3364714001929294), -2.430778207939097)"
[-0.96060039 -2.43017576 -1.26336224         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85534285 -2.49710913 -1.72216391         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650586768107928, -0.33600978357497935), -2.430168475730061)","((0.17288291620081248, -0.19419448315001858), -2.4190828671047826)","((0.17120230676493786, -0.1956777201378944), -2.5315140126819866)","((-0.2657202594073542, -0.33647140019300686), -2.430778207934346)"
[-0.96060092 -2.43016848 -1.2633763          inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85201177 -2.53151401 -1.63114176         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.26505875046769456, -0.3360098350765926), -2.430165443971263)","((0.1728829162010936, -0.1941944831497683), -2.4190828670903883)","((0.17120370067245752, -0.1956765005718765), -2.5856605743620324)","((-0.2657202594074002, -0.3364714001930389), -2.4307782079323847)"
[-0.96060113 -2.43016544 -1.26338216         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85200464 -2.58566057 -1.50844433         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650587811449152, -0.3360098565263929), -2.4301641813104817)","((0.172882916201263, -0.19419448314961751), -2.4190828670817193)","((0.16999826489050576, -0.19672465512542509), -2.6539978811566467)","((-0.26572025940741906, -0.336471400193052), -2.4307782079315756)"
[-0.96060123 -2.43016418 -1.2633846          inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85814852 -2.65399788 -1.36278276         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650587939215383, -0.3360098654599263), -2.43016365543565)","((0.17288291620136492, -0.19419448314952678), -2.419082867076498)","((0.1699325099553793, -0.19678145761291868), -2.656420521659858)","((-0.26572025940742683, -0.3364714001930574), -2.430778207931241)"
[-0.96060126 -2.43016366 -1.26338562         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85848272 -2.65642052 -1.26974457         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650587992428064, -0.3360098691806061), -2.4301634364177542)","((0.17288291620142632, -0.1941944831494721), -2.419082867073354)","((0.1710831757708433, -0.1957818862105551), -2.6173318748493988)","((-0.26572025940743005, -0.3364714001930597), -2.4307782079311036)"
[-0.96060128 -2.43016344 -1.26338604         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.85262042 -2.61733187 -1.22202676         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588014590308, -0.33600987073021066), -2.4301633452004046)","((0.17288291620146323, -0.19419448314943924), -2.4190828670714604)","((0.17277578962544451, -0.19428980034809892), -2.5589133151708876)","((-0.26572025940743127, -0.33647140019306054), -2.4307782079310463)"
[-0.96060129 -2.43016335 -1.26338622         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.843942   -2.55891332 -1.19212898         inf],[-0.9625685  -2.43077821 -1.2582595          inf]
"((-0.2650588023820532, -0.3360098713755964), -2.4301633072098565)","((0.1728829162014855, -0.19419448314941945), -2.41908286707032)","((0.17459535738168988, -0.19265632919984746), -2.4925197812798383)","((-0.26572025940743194, -0.33647140019306093), -2.4307782079310223)"
[-0.96060129 -2.43016331 -1.26338629         inf],[-0.84339048 -2.41908287 -1.21842181         inf],[-0.8345373  -2.49251978 -1.1719473          inf],[-0.9625685  -2.43077821 -1.2582595          inf]
