Front Left,Front Right,Back Left,Back Right
[-1.11893559 -2.60499192 -2.18380564         inf],[-0.68412798 -2.36622204 -1.3606065          inf],[-0.66421643 -2.440232   -1.31673315         inf],[-1.11798986 -2.60492862 -2.18496454         inf]
"((-0.30521028734166394, -0.3607727371108893), -2.6746862010484618)","((0.2014905816494338, -0.16432147001099054), -2.365414336909888)","((0.20472592787397925, -0.16027256301731202), -2.4398665788777385)","((-0.3048541940071314, -0.36058024682918177), -2.6739712827308724)"
[-1.07572222 -2.6746862  -2.02590331         inf],[-0.68413855 -2.36541434 -1.36140595         inf],[-0.66420449 -2.43986658 -1.31706804         inf],[-1.07473493 -2.67397128 -2.02896935         inf]
"((-0.2977435531729234, -0.3566403366374672), -2.8266268744114234)","((0.20148930671312087, -0.16432303332237355), -2.3648483754047014)","((0.20472714804913167, -0.16027100440088635), -2.439631944088293)","((-0.29716941664260854, -0.3563141232885672), -2.824998563487431)"
[-1.05490726 -2.82662687 -1.59126643         inf],[-0.68414631 -2.36484838 -1.36196691         inf],[-0.66419687 -2.43963194 -1.31728325         inf],[-1.05329667 -2.82499856 -1.59807383         inf]
"((-0.29741529356148805, -0.35645397559463676), -2.804810223050508)","((0.20148838394673818, -0.16432416479182796), -2.364451374912085)","((0.20472792841163137, -0.1602700075755971), -2.4394812125234107)","((-0.2968713638493379, -0.3561442926337187), -2.8043276708010545)"
[-1.05398659 -2.80481022 -1.27436765         inf],[-0.68415192 -2.36445137 -1.36236079         inf],[-0.664192   -2.43948121 -1.31742158         inf],[-1.05245998 -2.80432767 -1.27801368         inf]
"((-0.2952647285163692, -0.3552231251066349), -2.7016501053922917)","((0.20148772213325306, -0.1643249762803969), -2.364172682705693)","((0.20472842844334926, -0.16026936883608306), -2.439384350047286)","((-0.2947660328243771, -0.354935231721726), -2.7016736750286476)"
[-1.04794296 -2.70165011 -1.16380933         inf],[-0.68415595 -2.36417268 -1.36263747         inf],[-0.66418888 -2.43938435 -1.31751051         inf],[-1.04653849 -2.70167368 -1.1665744          inf]
"((-0.293147595457874, -0.3539944670967904), -2.5868694060359463)","((0.20148725036557136, -0.16432555473851768), -2.3639769380600635)","((0.20472874924227835, -0.16026895904601213), -2.439322091842392)","((-0.2926807547146518, -0.353721261071926), -2.5870479593899636)"
[-1.04197264 -2.58686941 -1.08469472         inf],[-0.68415882 -2.36397694 -1.3628319          inf],[-0.66418688 -2.43932209 -1.31756768         inf],[-1.04065335 -2.58704796 -1.08723176         inf]
"((-0.29147823134466844, -0.3530136994464271), -2.471854721249877)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.20472895521645673, -0.1602686959327306), -2.4392820701682876)","((-0.2910373347433898, -0.35275289443015745), -2.4721019720186845)"
[-1.03725032 -2.47185472 -1.02964521         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.6641856  -2.43928207 -1.31760444         inf],[-1.0360009  -2.47210197 -1.03199275         inf]
